Quien dijo: 'yo solo se que no se nada'?,socrates
Que organo del cuerpo produce la insulina?,pancreas
Que estilo arquitectonico es la catedral de Notre Dame?,gotico
Cuantos estados de la materia existen?,tres
Quien pinto 'La ultima cena'?,leonardo da vinci
Completa 'la materia no se crea ni se destruye solo se...',destruye
Cual es el ingrediente principal de los chilaquiles?,tortillas
Que edificio trepo King Kong?,empire state
Cual es el pueblo ficticio en el libro de 100 años de soledad?.,macondo
Cuale fue el primer integrante de los Beatles que murio?,johnn lennon
